ObservationDate,Country/Region,Confirmed,Deaths,Recovered
02/24/2020,Afghanistan,1,0,0
02/25/2020,Afghanistan,1,0,0
02/26/2020,Afghanistan,1,0,0
02/27/2020,Afghanistan,1,0,0
02/28/2020,Afghanistan,1,0,0
02/29/2020,Afghanistan,1,0,0
03-01-2020,Afghanistan,1,0,0
03-02-2020,Afghanistan,1,0,0
03-03-2020,Afghanistan,2,0,0
03-04-2020,Afghanistan,4,0,0
03-05-2020,Afghanistan,4,0,0
03-06-2020,Afghanistan,4,0,0
03-07-2020,Afghanistan,4,0,0
03-08-2020,Afghanistan,5,0,0
03-09-2020,Afghanistan,7,0,0
03-10-2020,Afghanistan,8,0,0
03-11-2020,Afghanistan,11,0,0
03-12-2020,Afghanistan,12,0,0
03/13/2020,Afghanistan,13,0,0
03/14/2020,Afghanistan,15,0,0
03/15/2020,Afghanistan,16,0,0
03/16/2020,Afghanistan,18,0,1
03/17/2020,Afghanistan,20,0,1
03/18/2020,Afghanistan,24,0,1
03/19/2020,Afghanistan,25,0,1
03/20/2020,Afghanistan,29,0,1
03/21/2020,Afghanistan,30,0,1
03/22/2020,Afghanistan,34,1,1
03/23/2020,Afghanistan,41,1,1
03/24/2020,Afghanistan,43,1,1
03/25/2020,Afghanistan,76,2,2
03/26/2020,Afghanistan,80,3,2
03/27/2020,Afghanistan,91,3,2
03/28/2020,Afghanistan,107,4,2
03/29/2020,Afghanistan,118,4,2
03/30/2020,Afghanistan,146,4,2
03/31/2020,Afghanistan,175,4,5
04-01-2020,Afghanistan,197,4,5
04-02-2020,Afghanistan,240,4,10
04-03-2020,Afghanistan,275,8,10
04-04-2020,Afghanistan,300,10,10
04-05-2020,Afghanistan,338,12,15
04-06-2020,Afghanistan,368,15,18
04-07-2020,Afghanistan,424,16,18
04-08-2020,Afghanistan,445,16,29
04-09-2020,Afghanistan,485,17,32
04-10-2020,Afghanistan,532,18,32
04-11-2020,Afghanistan,556,18,32
04-12-2020,Afghanistan,608,19,32
04/13/2020,Afghanistan,666,22,32
04/14/2020,Afghanistan,715,23,40
04/15/2020,Afghanistan,785,29,43
04/16/2020,Afghanistan,841,30,54
04/17/2020,Afghanistan,907,30,99
04/18/2020,Afghanistan,934,30,112
04/19/2020,Afghanistan,997,33,131
04/20/2020,Afghanistan,1027,36,135
04/21/2020,Afghanistan,1093,36,150
04/22/2020,Afghanistan,1177,40,166
04/23/2020,Afghanistan,1236,40,179
04/24/2020,Afghanistan,1331,43,188
04/25/2020,Afghanistan,1464,47,188
04/26/2020,Afghanistan,1532,52,207
04/27/2020,Afghanistan,1704,58,220
04/28/2020,Afghanistan,1830,59,228
04/29/2020,Afghanistan,1940,61,252
04/30/2020,Afghanistan,2127,64,260
05-01-2020,Afghanistan,2291,68,310
05-02-2020,Afghanistan,2470,72,331
05-03-2020,Afghanistan,2705,85,345
05-04-2020,Afghanistan,2895,90,397
05-05-2020,Afghanistan,3225,95,421
05-06-2020,Afghanistan,3393,104,458
05-07-2020,Afghanistan,3564,106,468
05-08-2020,Afghanistan,3781,109,472
05-09-2020,Afghanistan,4042,115,502
05-10-2020,Afghanistan,4403,120,558
05-11-2020,Afghanistan,4687,122,558
05-12-2020,Afghanistan,4968,127,610
05/13/2020,Afghanistan,5227,132,648
05/14/2020,Afghanistan,5640,136,691
05/15/2020,Afghanistan,6054,153,745
05/16/2020,Afghanistan,6403,168,745
05/17/2020,Afghanistan,6665,170,778
05/18/2020,Afghanistan,7073,173,801
05/19/2020,Afghanistan,7654,178,850
05/20/2020,Afghanistan,8146,188,930
05/21/2020,Afghanistan,8677,194,938
05/22/2020,Afghanistan,9219,206,996
05/23/2020,Afghanistan,10001,217,1040
05/24/2020,Afghanistan,10585,219,1075
05/25/2020,Afghanistan,11176,220,1097
05/26/2020,Afghanistan,11834,221,1128
05/27/2020,Afghanistan,12459,228,1138
05/28/2020,Afghanistan,13039,236,1209
05/29/2020,Afghanistan,13662,247,1259
05/30/2020,Afghanistan,14528,250,1303
05/31/2020,Afghanistan,15208,258,1328
06-01-2020,Afghanistan,15753,266,1428
06-02-2020,Afghanistan,16512,274,1450
06-03-2020,Afghanistan,17270,298,1522
06-04-2020,Afghanistan,18057,304,1585
06-05-2020,Afghanistan,18972,313,1762
06-06-2020,Afghanistan,19554,331,1830
06-07-2020,Afghanistan,20345,361,1875
06-08-2020,Afghanistan,20920,373,2171
06-09-2020,Afghanistan,21462,388,2651
06-10-2020,Afghanistan,22146,409,3013
06-11-2020,Afghanistan,22894,430,3326
06-12-2020,Afghanistan,23550,450,3928
06/13/2020,Afghanistan,24106,455,4201
06/14/2020,Afghanistan,24770,475,4725
06/15/2020,Afghanistan,25531,482,5164
06/16/2020,Afghanistan,26314,495,5508
06/17/2020,Afghanistan,26878,508,6158
06/18/2020,Afghanistan,27536,550,7660
06/19/2020,Afghanistan,27882,552,7962
06/20/2020,Afghanistan,28428,573,8292
06/21/2020,Afghanistan,28837,585,8764
06/22/2020,Afghanistan,29147,597,8841
06/23/2020,Afghanistan,29471,617,9260
06/24/2020,Afghanistan,29705,638,9869
06/25/2020,Afghanistan,30165,674,10174
06/26/2020,Afghanistan,30441,682,10306
06/27/2020,Afghanistan,30606,716,10674
06/28/2020,Afghanistan,30957,728,12604
06/29/2020,Afghanistan,31228,740,13934
06/30/2020,Afghanistan,31507,752,14131
07-01-2020,Afghanistan,31826,780,15651
07-02-2020,Afghanistan,32012,809,16041
07-03-2020,Afghanistan,32314,821,17331
07-04-2020,Afghanistan,32662,828,19164
07-05-2020,Afghanistan,32941,866,19366
07-06-2020,Afghanistan,33180,900,20103
07-07-2020,Afghanistan,33374,922,20179
07-08-2020,Afghanistan,33584,939,20700
07-09-2020,Afghanistan,33898,959,20847
07-10-2020,Afghanistan,34184,973,20882
07-11-2020,Afghanistan,34356,996,21135
07-12-2020,Afghanistan,34441,1012,21216
07/13/2020,Afghanistan,34595,1040,21254
07/14/2020,Afghanistan,34730,1064,21454
07/15/2020,Afghanistan,34984,1096,22456
07/16/2020,Afghanistan,35060,1117,22824
07/17/2020,Afghanistan,35219,1149,23151
07/18/2020,Afghanistan,35279,1166,23273
07/19/2020,Afghanistan,35453,1183,23634
07/20/2020,Afghanistan,35493,1185,23741
07/21/2020,Afghanistan,35605,1188,23741
07/22/2020,Afghanistan,35717,1192,23924
07/23/2020,Afghanistan,35918,1213,24550
07/24/2020,Afghanistan,35978,1227,24602
07/25/2020,Afghanistan,36026,1249,24793
07/26/2020,Afghanistan,36147,1261,25180
07/27/2020,Afghanistan,36253,1271,25198
07/28/2020,Afghanistan,36358,1272,25358
07/29/2020,Afghanistan,36463,1273,25389
07/30/2020,Afghanistan,36532,1283,25471
07/31/2020,Afghanistan,36665,1284,25509
08-01-2020,Afghanistan,36700,1285,25509
08-02-2020,Afghanistan,36701,1286,25510
08-03-2020,Afghanistan,36737,1290,25669
08-04-2020,Afghanistan,36773,1290,25669
08-05-2020,Afghanistan,36820,1296,25742
08-06-2020,Afghanistan,36928,1301,25840
08-07-2020,Afghanistan,37006,1310,25903
08-08-2020,Afghanistan,37046,1315,25960
08-09-2020,Afghanistan,37083,1321,25960
08-10-2020,Afghanistan,37153,1329,26228
08-11-2020,Afghanistan,37260,1346,26415
08-12-2020,Afghanistan,37336,1356,26694
08/13/2020,Afghanistan,37422,1365,26714
08/14/2020,Afghanistan,37497,1370,26714
08/15/2020,Afghanistan,37542,1371,27166
08/16/2020,Afghanistan,37590,1376,27166
08/17/2020,Afghanistan,37667,1378,27166
08/18/2020,Afghanistan,37710,1382,27166
08/19/2020,Afghanistan,37750,1384,27166
08/20/2020,Afghanistan,37852,1386,27681
08/21/2020,Afghanistan,37885,1386,28016
08/22/2020,Afghanistan,37944,1386,28016
08/23/2020,Afghanistan,37990,1388,28180
08/24/2020,Afghanistan,38045,1390,28360
08/25/2020,Afghanistan,38061,1398,28440
08/26/2020,Afghanistan,38103,1402,29042
08/27/2020,Afghanistan,38119,1402,29046
08/28/2020,Afghanistan,38130,1403,29059
08/29/2020,Afghanistan,38133,1403,29063
08/30/2020,Afghanistan,38155,1403,29089
08/31/2020,Afghanistan,38159,1403,29089
09-01-2020,Afghanistan,38193,1407,29231
09-02-2020,Afghanistan,38243,1410,29315
09-03-2020,Afghanistan,38288,1410,29390
09-04-2020,Afghanistan,38304,1410,29713
09-05-2020,Afghanistan,38324,1410,30082
09-06-2020,Afghanistan,38398,1413,30537
09-07-2020,Afghanistan,38494,1416,30557
09-08-2020,Afghanistan,38520,1419,30715
09-09-2020,Afghanistan,38544,1421,31048
09-10-2020,Afghanistan,38572,1421,31129
09-11-2020,Afghanistan,38606,1421,31154
