Observation Date,Country,Confirmed,Death,Recovered
03-08-2020,Bangladesh,3,0,0
03-09-2020,Bangladesh,3,0,0
03-10-2020,Bangladesh,3,0,0
03-11-2020,Bangladesh,3,0,0
03-12-2020,Bangladesh,3,0,0
03/13/2020,Bangladesh,3,0,0
03/14/2020,Bangladesh,3,0,0
03/15/2020,Bangladesh,5,0,0
03/16/2020,Bangladesh,8,0,2
03/17/2020,Bangladesh,10,0,3
03/18/2020,Bangladesh,14,1,3
03/19/2020,Bangladesh,17,1,3
03/20/2020,Bangladesh,20,1,3
03/21/2020,Bangladesh,25,2,3
03/22/2020,Bangladesh,27,2,3
03/23/2020,Bangladesh,33,3,5
03/24/2020,Bangladesh,39,4,5
03/25/2020,Bangladesh,39,5,7
03/26/2020,Bangladesh,44,5,11
03/27/2020,Bangladesh,48,5,11
03/28/2020,Bangladesh,48,5,15
03/29/2020,Bangladesh,48,5,15
03/30/2020,Bangladesh,49,5,19
03/31/2020,Bangladesh,51,5,25
04-01-2020,Bangladesh,54,6,25
04-02-2020,Bangladesh,56,6,25
04-03-2020,Bangladesh,61,6,26
04-04-2020,Bangladesh,70,8,30
04-05-2020,Bangladesh,88,9,33
04-06-2020,Bangladesh,123,12,33
04-07-2020,Bangladesh,164,17,33
04-08-2020,Bangladesh,218,20,33
04-09-2020,Bangladesh,330,21,33
04-10-2020,Bangladesh,424,27,33
04-11-2020,Bangladesh,482,30,36
04-12-2020,Bangladesh,621,34,39
04/13/2020,Bangladesh,803,39,42
04/14/2020,Bangladesh,1012,46,42
04/15/2020,Bangladesh,1231,50,49
04/16/2020,Bangladesh,1572,60,49
04/17/2020,Bangladesh,1838,75,58
04/18/2020,Bangladesh,2144,84,66
04/19/2020,Bangladesh,2456,91,75
04/20/2020,Bangladesh,2948,101,85
04/21/2020,Bangladesh,3382,110,87
04/22/2020,Bangladesh,3772,120,92
04/23/2020,Bangladesh,4186,127,108
04/24/2020,Bangladesh,4689,131,112
04/25/2020,Bangladesh,4998,140,113
04/26/2020,Bangladesh,5416,145,122
04/27/2020,Bangladesh,5913,152,131
04/28/2020,Bangladesh,6462,155,139
04/29/2020,Bangladesh,7103,163,150
04/30/2020,Bangladesh,7667,168,160
05-01-2020,Bangladesh,8238,170,174
05-02-2020,Bangladesh,8790,175,177
05-03-2020,Bangladesh,9455,177,1063
05-04-2020,Bangladesh,10143,182,1209
