Country,Total Confirmed Cases,Total Deaths,Total Recovered,Total Population
China,43839055,2138884,39612750,"1,41,21,75,000"
India,322676808,44424723,2900589824,"1,41,71,73,173"
Bangladesh,161494811,2369239,132982094,"17,11,86,372"
Pakistan,165572396,3537569,146019913,"23,58,24,862"
Russia,930548849,18363719,790705716,"14,35,55,736"
Indonesia,265186050,7770329,226416174,"27,55,01,339"
Japan,89378076,1580914,78335782,"12,51,24,989"
Philippines,164420468,3089116,142849090,"11,55,59,009"
Sri Lanka,15676007,91579,13707143,"2,21,81,000"
Afghanistan,17026442,669075,13464399,"43,082,337"
