Observation Date,Country,Confirmed,Death,Recovered
03-02-2020,Indonesia,2,0,0
03-03-2020,Indonesia,2,0,0
03-04-2020,Indonesia,2,0,0
03-05-2020,Indonesia,2,0,0
03-06-2020,Indonesia,4,0,0
03-07-2020,Indonesia,4,0,0
03-08-2020,Indonesia,6,0,0
03-09-2020,Indonesia,19,0,0
03-10-2020,Indonesia,27,0,2
03-11-2020,Indonesia,34,1,2
03-12-2020,Indonesia,34,1,2
03/13/2020,Indonesia,69,4,2
03/14/2020,Indonesia,96,5,8
03/15/2020,Indonesia,117,5,8
03/16/2020,Indonesia,134,5,8
03/17/2020,Indonesia,172,5,8
03/18/2020,Indonesia,227,19,11
03/19/2020,Indonesia,311,25,11
03/20/2020,Indonesia,369,32,15
03/21/2020,Indonesia,450,38,15
03/22/2020,Indonesia,514,48,29
03/23/2020,Indonesia,579,49,30
03/24/2020,Indonesia,686,55,30
03/25/2020,Indonesia,790,58,31
03/26/2020,Indonesia,893,78,35
03/27/2020,Indonesia,1046,87,46
03/28/2020,Indonesia,1155,102,59
03/29/2020,Indonesia,1285,114,64
03/30/2020,Indonesia,1414,122,75
03/31/2020,Indonesia,1528,136,81
04-01-2020,Indonesia,1677,157,103
04-02-2020,Indonesia,1790,170,112
04-03-2020,Indonesia,1986,181,134
04-04-2020,Indonesia,2092,191,150
04-05-2020,Indonesia,2273,198,164
04-06-2020,Indonesia,2491,209,192
04-07-2020,Indonesia,2738,221,204
04-08-2020,Indonesia,2956,240,222
04-09-2020,Indonesia,3293,280,252
04-10-2020,Indonesia,3512,306,282
04-11-2020,Indonesia,3842,327,286
04-12-2020,Indonesia,4241,373,359
04/13/2020,Indonesia,4557,399,380
04/14/2020,Indonesia,4839,459,426
04/15/2020,Indonesia,5136,469,446
04/16/2020,Indonesia,5516,496,548
04/17/2020,Indonesia,5923,520,607
04/18/2020,Indonesia,6248,535,631
04/19/2020,Indonesia,6575,582,686
04/20/2020,Indonesia,6760,590,747
04/21/2020,Indonesia,7135,616,842
04/22/2020,Indonesia,7418,635,913
04/23/2020,Indonesia,7775,647,960
04/24/2020,Indonesia,8211,689,1002
04/25/2020,Indonesia,8607,720,1042
04/26/2020,Indonesia,8882,743,1107
04/27/2020,Indonesia,9096,765,1151
04/28/2020,Indonesia,9511,773,1254
04/29/2020,Indonesia,9771,784,1391
04/30/2020,Indonesia,10118,792,1522
05-01-2020,Indonesia,10551,800,1591
05-02-2020,Indonesia,10843,831,1665
05-03-2020,Indonesia,11192,845,1876
05-04-2020,Indonesia,11587,864,1954
05-05-2020,Indonesia,12071,872,2197
05-06-2020,Indonesia,12438,895,2317
05-07-2020,Indonesia,12776,930,2381
05-08-2020,Indonesia,13112,943,2494
05-09-2020,Indonesia,13645,959,2607
05-10-2020,Indonesia,14032,973,2698
