Observation Date,Country,Confirmed,Death,Recovered
01/22/2020,Japan,2,0,0
01/23/2020,Japan,1,0,0
01/24/2020,Japan,2,0,0
01/25/2020,Japan,2,0,0
01/26/2020,Japan,4,0,1
01/27/2020,Japan,4,0,1
01/28/2020,Japan,7,0,1
01/29/2020,Japan,7,0,1
01/30/2020,Japan,11,0,1
01/31/2020,Japan,15,0,1
02-01-2020,Japan,20,0,1
02-02-2020,Japan,20,0,1
02-03-2020,Japan,20,0,1
02-04-2020,Japan,22,0,1
02-05-2020,Japan,22,0,1
02-06-2020,Japan,45,0,1
02-07-2020,Japan,25,0,1
02-08-2020,Japan,25,0,1
02-09-2020,Japan,26,0,1
02-10-2020,Japan,26,0,4
02-11-2020,Japan,26,0,9
02-12-2020,Japan,28,0,9
02/13/2020,Japan,28,1,9
02/14/2020,Japan,29,1,9
02/15/2020,Japan,43,1,12
02/16/2020,Japan,59,1,12
02/17/2020,Japan,66,1,12
02/18/2020,Japan,74,1,13
02/19/2020,Japan,84,1,18
02/20/2020,Japan,94,1,18
02/21/2020,Japan,105,1,22
02/22/2020,Japan,122,1,22
02/23/2020,Japan,147,1,22
02/24/2020,Japan,159,1,22
02/25/2020,Japan,170,1,22
02/26/2020,Japan,189,2,22
02/27/2020,Japan,214,4,22
02/28/2020,Japan,228,4,22
02/29/2020,Japan,241,5,32
03-01-2020,Japan,256,6,32
03-02-2020,Japan,274,6,32
03-03-2020,Japan,293,6,43
03-04-2020,Japan,331,6,43
03-05-2020,Japan,360,6,43
03-06-2020,Japan,420,6,46
03-07-2020,Japan,461,6,76
03-08-2020,Japan,502,6,76
03-09-2020,Japan,511,17,76
03-10-2020,Japan,581,10,101
03-11-2020,Japan,639,15,118
03-12-2020,Japan,639,16,118
03/13/2020,Japan,701,19,118
03/14/2020,Japan,773,22,118
03/15/2020,Japan,839,22,118
03/16/2020,Japan,825,27,144
03/17/2020,Japan,878,29,144
03/18/2020,Japan,889,29,144
03/19/2020,Japan,924,29,150
03/20/2020,Japan,963,33,191
03/21/2020,Japan,1007,35,232
03/22/2020,Japan,1086,36,235
03/23/2020,Japan,1128,42,235
03/24/2020,Japan,1193,43,285
03/25/2020,Japan,1307,45,310
03/26/2020,Japan,1387,47,359
03/27/2020,Japan,1468,49,372
03/28/2020,Japan,1693,52,404
03/29/2020,Japan,1866,54,424
03/30/2020,Japan,1866,54,424
03/31/2020,Japan,1953,56,424
04-01-2020,Japan,2178,57,472
04-02-2020,Japan,2495,62,472
04-03-2020,Japan,2617,63,514
04-04-2020,Japan,3139,77,514
04-05-2020,Japan,3139,77,514
04-06-2020,Japan,3654,85,575
04-07-2020,Japan,3906,92,592
04-08-2020,Japan,4257,93,622
04-09-2020,Japan,4667,94,632
04-10-2020,Japan,5530,99,685
04-11-2020,Japan,6005,99,762
04-12-2020,Japan,6748,108,762
04/13/2020,Japan,7370,123,784
04/14/2020,Japan,7645,143,799
04/15/2020,Japan,8100,146,853
04/16/2020,Japan,8626,178,901
04/17/2020,Japan,9787,190,935
04/18/2020,Japan,10296,222,1069
04/19/2020,Japan,10797,236,1159
04/20/2020,Japan,10797,236,1159
04/21/2020,Japan,11135,263,1239
04/22/2020,Japan,11512,281,1356
04/23/2020,Japan,12368,328,1494
04/24/2020,Japan,12829,345,1530
04/25/2020,Japan,13231,360,1656
04/26/2020,Japan,13441,372,1809
04/27/2020,Japan,14153,385,1899
04/28/2020,Japan,13736,394,1899
04/29/2020,Japan,13895,413,2368
04/30/2020,Japan,14088,430,2460
05-01-2020,Japan,14305,455,2975
05-02-2020,Japan,14571,474,3205
05-03-2020,Japan,14877,487,3981
05-04-2020,Japan,15078,536,4156
05-05-2020,Japan,15253,556,4496
05-06-2020,Japan,15253,556,4496
05-07-2020,Japan,15477,577,4918
05-08-2020,Japan,15575,590,5146
05-09-2020,Japan,15663,607,5906
05-10-2020,Japan,15777,624,8127
05-11-2020,Japan,15847,633,8293
05-12-2020,Japan,15968,657,8531
05/13/2020,Japan,16049,678,8920
05/14/2020,Japan,16120,697,9868
05/15/2020,Japan,16203,713,10338
05/16/2020,Japan,16237,725,10338
05/17/2020,Japan,16285,744,11153
05/18/2020,Japan,16305,749,11564
05/19/2020,Japan,16367,768,11564
05/20/2020,Japan,16367,768,11564
05/21/2020,Japan,16424,777,12672
05/22/2020,Japan,16513,796,13005
05/23/2020,Japan,16536,808,13244
05/24/2020,Japan,16550,820,13413
05/25/2020,Japan,16581,830,13612
05/26/2020,Japan,16623,846,13810
05/27/2020,Japan,16651,858,13973
05/28/2020,Japan,506,34,453
05/28/2020,Japan,16,0,16
05/28/2020,Japan,27,1,24
05/28/2020,Japan,906,45,797
05/28/2020,Japan,82,4,53
05/28/2020,Japan,122,8,109
05/28/2020,Japan,701,25,614
05/28/2020,Japan,81,0,74
05/28/2020,Japan,150,7,141
05/28/2020,Japan,149,19,116
05/28/2020,Japan,164,3,151
05/28/2020,Japan,1070,86,763
05/28/2020,Japan,699,41,622
05/28/2020,Japan,168,9,147
05/28/2020,Japan,297,24,215
05/28/2020,Japan,28,0,28
05/28/2020,Japan,10,0,10
05/28/2020,Japan,1349,83,1040
05/28/2020,Japan,74,3,70
05/28/2020,Japan,47,3,39
05/28/2020,Japan,358,16,321
05/28/2020,Japan,45,1,41
05/28/2020,Japan,88,1,87
05/28/2020,Japan,17,0,17
05/28/2020,Japan,75,0,66
05/28/2020,Japan,17,1,16
05/28/2020,Japan,92,2,85
05/28/2020,Japan,82,0,75
05/28/2020,Japan,60,1,58
05/28/2020,Japan,25,0,25
05/28/2020,Japan,145,6,136
05/28/2020,Japan,1782,82,1539
05/28/2020,Japan,180,0,153
05/28/2020,Japan,45,0,35
05/28/2020,Japan,1002,48,882
05/28/2020,Japan,100,1,89
05/28/2020,Japan,24,0,20
05/28/2020,Japan,75,1,71
05/28/2020,Japan,65,0,48
05/28/2020,Japan,5,1,4
05/28/2020,Japan,5199,299,4443
05/28/2020,Japan,3,0,3
05/28/2020,Japan,227,22,186
05/28/2020,Japan,8,0,0
05/28/2020,Japan,63,3,56
05/28/2020,Japan,69,0,66
05/28/2020,Japan,37,0,35
05/28/2020,Japan,64,1,57
05/29/2020,Japan,506,34,453
05/29/2020,Japan,16,0,16
05/29/2020,Japan,27,1,25
05/29/2020,Japan,906,45,804
05/29/2020,Japan,83,4,50
05/29/2020,Japan,122,8,109
05/29/2020,Japan,727,25,616
05/29/2020,Japan,81,0,74
05/29/2020,Japan,150,7,141
05/29/2020,Japan,149,19,117
05/29/2020,Japan,164,3,151
05/29/2020,Japan,1073,86,770
05/29/2020,Japan,699,41,625
05/29/2020,Japan,168,10,147
05/29/2020,Japan,298,24,218
05/29/2020,Japan,28,0,28
05/29/2020,Japan,10,0,10
05/29/2020,Japan,1359,85,1061
05/29/2020,Japan,74,3,70
05/29/2020,Japan,47,3,39
05/29/2020,Japan,358,16,323
05/29/2020,Japan,45,1,41
05/29/2020,Japan,88,1,87
05/29/2020,Japan,17,0,17
05/29/2020,Japan,75,0,67
05/29/2020,Japan,17,1,16
05/29/2020,Japan,92,2,86
05/29/2020,Japan,82,0,77
05/29/2020,Japan,60,1,58
05/29/2020,Japan,25,0,25
05/29/2020,Japan,145,6,136
05/29/2020,Japan,1782,82,1539
05/29/2020,Japan,190,0,153
05/29/2020,Japan,45,0,37
05/29/2020,Japan,1004,48,888
05/29/2020,Japan,100,1,91
05/29/2020,Japan,24,0,20
05/29/2020,Japan,75,1,72
05/29/2020,Japan,65,0,46
05/29/2020,Japan,5,1,4
05/29/2020,Japan,5221,302,4501
05/29/2020,Japan,3,0,3
05/29/2020,Japan,227,22,187
05/29/2020,Japan,8,0,0
05/29/2020,Japan,63,3,57
05/29/2020,Japan,69,0,66
05/29/2020,Japan,37,0,35
05/29/2020,Japan,64,1,57
05/30/2020,Japan,507,34,455
05/30/2020,Japan,16,0,16
05/30/2020,Japan,27,1,25
05/30/2020,Japan,907,45,805
05/30/2020,Japan,82,4,54
05/30/2020,Japan,122,8,109
05/30/2020,Japan,743,26,616
05/30/2020,Japan,81,0,75
05/30/2020,Japan,150,7,141
05/30/2020,Japan,149,19,118
05/30/2020,Japan,164,3,151
05/30/2020,Japan,1077,86,783
05/30/2020,Japan,699,41,626
05/30/2020,Japan,168,10,147
05/30/2020,Japan,298,25,219
05/30/2020,Japan,28,0,28
05/30/2020,Japan,10,0,10
05/30/2020,Japan,1363,86,1061
05/30/2020,Japan,74,3,70
05/30/2020,Japan,47,3,42
05/30/2020,Japan,358,17,323
05/30/2020,Japan,45,1,41
05/30/2020,Japan,88,1,87
05/30/2020,Japan,17,0,17
05/30/2020,Japan,75,0,69
05/30/2020,Japan,17,1,16
05/30/2020,Japan,92,2,88
05/30/2020,Japan,82,0,77
05/30/2020,Japan,60,1,58
05/30/2020,Japan,25,0,25
05/30/2020,Japan,145,6,137
05/30/2020,Japan,1782,83,1552
05/30/2020,Japan,194,0,153
05/30/2020,Japan,45,0,37
05/30/2020,Japan,1004,48,890
05/30/2020,Japan,100,1,91
05/30/2020,Japan,24,0,20
