Observation Date,Country,Confirmed,Death,Recovered
02/26/2020,Pakistan,2,0,0
02/27/2020,Pakistan,2,0,0
02/28/2020,Pakistan,2,0,0
02/29/2020,Pakistan,4,0,0
03-01-2020,Pakistan,4,0,0
03-02-2020,Pakistan,4,0,0
03-03-2020,Pakistan,5,0,0
03-04-2020,Pakistan,5,0,0
03-05-2020,Pakistan,5,0,0
03-06-2020,Pakistan,6,0,0
03-07-2020,Pakistan,6,0,0
03-08-2020,Pakistan,6,0,1
03-09-2020,Pakistan,6,0,1
03-10-2020,Pakistan,16,0,1
03-11-2020,Pakistan,19,0,2
03-12-2020,Pakistan,20,0,2
03/13/2020,Pakistan,28,0,2
03/14/2020,Pakistan,31,0,2
03/15/2020,Pakistan,53,0,2
03/16/2020,Pakistan,136,0,2
03/17/2020,Pakistan,236,0,2
03/18/2020,Pakistan,299,0,2
03/19/2020,Pakistan,454,2,13
03/20/2020,Pakistan,501,3,13
03/21/2020,Pakistan,730,3,13
03/22/2020,Pakistan,776,4,13
03/23/2020,Pakistan,875,6,13
03/24/2020,Pakistan,972,7,18
03/25/2020,Pakistan,1063,8,21
03/26/2020,Pakistan,1201,9,21
03/27/2020,Pakistan,1373,11,23
03/28/2020,Pakistan,1495,12,29
03/29/2020,Pakistan,1597,14,29
03/30/2020,Pakistan,1717,21,76
03/31/2020,Pakistan,1938,26,76
04-01-2020,Pakistan,2118,27,94
04-02-2020,Pakistan,2421,34,125
04-03-2020,Pakistan,2686,40,126
04-04-2020,Pakistan,2818,41,131
04-05-2020,Pakistan,3157,47,211
04-06-2020,Pakistan,3766,53,259
04-07-2020,Pakistan,4035,57,429
04-08-2020,Pakistan,4263,61,467
04-09-2020,Pakistan,4489,65,572
04-10-2020,Pakistan,4695,66,727
04-11-2020,Pakistan,5011,86,762
04-12-2020,Pakistan,5230,91,1028
04/13/2020,Pakistan,5496,93,1095
04/14/2020,Pakistan,5837,96,1378
04/15/2020,Pakistan,6383,111,1446
04/16/2020,Pakistan,6919,128,1645
04/17/2020,Pakistan,7025,135,1765
04/18/2020,Pakistan,7638,143,1832
04/19/2020,Pakistan,8348,168,1868
04/20/2020,Pakistan,8418,176,1970
