Observation Date,Country,Confirmed,Death,Recovered
01/23/2020,Philippines,0,0,0
01/30/2020,Philippines,1,0,0
01/31/2020,Philippines,1,0,0
02-01-2020,Philippines,1,0,0
02-02-2020,Philippines,2,1,0
02-03-2020,Philippines,2,1,0
02-04-2020,Philippines,2,1,0
02-05-2020,Philippines,2,1,0
02-06-2020,Philippines,2,1,0
02-07-2020,Philippines,3,1,0
02-08-2020,Philippines,3,1,0
02-09-2020,Philippines,3,1,0
02-10-2020,Philippines,3,1,0
02-11-2020,Philippines,3,1,0
02-12-2020,Philippines,3,1,1
02/13/2020,Philippines,3,1,1
02/14/2020,Philippines,3,1,1
02/15/2020,Philippines,3,1,1
02/16/2020,Philippines,3,1,1
02/17/2020,Philippines,3,1,1
02/18/2020,Philippines,3,1,1
02/19/2020,Philippines,3,1,1
02/20/2020,Philippines,3,1,1
02/21/2020,Philippines,3,1,1
02/22/2020,Philippines,3,1,1
02/23/2020,Philippines,3,1,1
02/24/2020,Philippines,3,1,1
02/25/2020,Philippines,3,1,1
02/26/2020,Philippines,3,1,1
02/27/2020,Philippines,3,1,1
02/28/2020,Philippines,3,1,1
02/29/2020,Philippines,3,1,1
03-01-2020,Philippines,3,1,1
03-02-2020,Philippines,3,1,1
03-03-2020,Philippines,3,1,1
03-04-2020,Philippines,3,1,1
03-05-2020,Philippines,3,1,1
03-06-2020,Philippines,5,1,1
03-07-2020,Philippines,6,1,1
03-08-2020,Philippines,10,1,1
03-09-2020,Philippines,20,1,1
03-10-2020,Philippines,33,1,2
03-11-2020,Philippines,49,1,2
03-12-2020,Philippines,52,2,2
03/13/2020,Philippines,64,5,2
03/14/2020,Philippines,111,8,2
03/15/2020,Philippines,140,11,2
03/16/2020,Philippines,142,12,2
03/17/2020,Philippines,187,12,5
03/18/2020,Philippines,202,19,5
03/19/2020,Philippines,217,17,8
03/20/2020,Philippines,230,18,8
03/21/2020,Philippines,307,19,13
03/22/2020,Philippines,380,25,15
03/23/2020,Philippines,462,33,18
03/24/2020,Philippines,552,35,20
03/25/2020,Philippines,636,38,26
03/26/2020,Philippines,707,45,28
03/27/2020,Philippines,803,54,31
03/28/2020,Philippines,1075,68,35
03/29/2020,Philippines,1418,71,42
03/30/2020,Philippines,1546,78,42
03/31/2020,Philippines,2084,88,49
04-01-2020,Philippines,2311,96,50
04-02-2020,Philippines,2633,107,51
04-03-2020,Philippines,3018,136,52
04-04-2020,Philippines,3094,144,57
04-05-2020,Philippines,3246,152,64
04-06-2020,Philippines,3660,163,73
04-07-2020,Philippines,3764,177,84
04-08-2020,Philippines,3870,182,96
04-09-2020,Philippines,4076,203,124
04-10-2020,Philippines,4195,221,140
04-11-2020,Philippines,4428,247,157
04-12-2020,Philippines,4648,297,197
04/13/2020,Philippines,4932,315,242
04/14/2020,Philippines,5223,335,295
04/15/2020,Philippines,5453,349,353
04/16/2020,Philippines,5660,362,435
04/17/2020,Philippines,5878,387,487
04/18/2020,Philippines,6087,397,516
04/19/2020,Philippines,6259,409,572
04/20/2020,Philippines,6459,428,613
04/21/2020,Philippines,6599,437,654
04/22/2020,Philippines,6710,446,693
04/23/2020,Philippines,6981,462,722
04/24/2020,Philippines,7192,477,762
04/25/2020,Philippines,7294,494,792
04/26/2020,Philippines,7579,501,862
04/27/2020,Philippines,7777,511,932
04/28/2020,Philippines,7958,530,975
04/29/2020,Philippines,8212,558,1023
04/30/2020,Philippines,8488,568,1043
05-01-2020,Philippines,8772,579,1084
05-02-2020,Philippines,8928,603,1124
05-03-2020,Philippines,9223,607,1214
05-04-2020,Philippines,9485,623,1315
05-05-2020,Philippines,9684,637,1408
05-06-2020,Philippines,10004,658,1506
05-07-2020,Philippines,10343,685,1618
05-08-2020,Philippines,10463,696,1734
05-09-2020,Philippines,10610,704,1842
05-10-2020,Philippines,10794,719,1924
05-11-2020,Philippines,11086,726,1999
05-12-2020,Philippines,11350,751,2106
05/13/2020,Philippines,11618,772,2251
05/14/2020,Philippines,11876,790,2337
05/15/2020,Philippines,12091,806,2460
05/16/2020,Philippines,12305,817,2561
05/17/2020,Philippines,12513,824,2635
05/18/2020,Philippines,12718,831,2729
05/19/2020,Philippines,12942,837,2843
05/20/2020,Philippines,13221,842,2932
05/21/2020,Philippines,13434,846,3000
05/22/2020,Philippines,13597,857,3092
05/23/2020,Philippines,13777,863,3177
05/24/2020,Philippines,14035,868,3249
05/25/2020,Philippines,14319,873,3323
05/26/2020,Philippines,14669,886,3412
05/27/2020,Philippines,15049,904,3506
05/28/2020,Philippines,15588,921,3598
05/29/2020,Philippines,16634,942,3720
05/30/2020,Philippines,17224,950,3808
05/31/2020,Philippines,18086,957,3909
06-01-2020,Philippines,18638,960,3979
06-02-2020,Philippines,18997,966,4063
06-03-2020,Philippines,19748,974,4153
06-04-2020,Philippines,20382,984,4248
06-05-2020,Philippines,20626,987,4330
06-06-2020,Philippines,21340,994,4441
06-07-2020,Philippines,21895,1003,4530
06-08-2020,Philippines,22474,1011,4637
06-09-2020,Philippines,22992,1017,4736
06-10-2020,Philippines,23732,1027,4895
06-11-2020,Philippines,24175,1036,5165
06-12-2020,Philippines,24787,1052,5454
06/13/2020,Philippines,25392,1074,5706
06/14/2020,Philippines,25930,1088,5954
06/15/2020,Philippines,26420,1098,6252
06/16/2020,Philippines,26781,1103,6552
06/17/2020,Philippines,27238,1108,6820
06/18/2020,Philippines,27799,1116,7090
06/19/2020,Philippines,28459,1130,7378
06/20/2020,Philippines,29400,1150,7650
06/21/2020,Philippines,30052,1169,7893
06/22/2020,Philippines,30682,1177,8143
06/23/2020,Philippines,31825,1186,8442
06/24/2020,Philippines,32295,1204,8656
06/25/2020,Philippines,33069,1212,8910
06/26/2020,Philippines,34073,1224,9182
06/27/2020,Philippines,34803,1236,9430
06/28/2020,Philippines,35455,1244,9686
06/29/2020,Philippines,36438,1255,9956
06/30/2020,Philippines,37514,1266,10233
07-01-2020,Philippines,38511,1270,10438
07-02-2020,Philippines,38805,1274,10673
07-03-2020,Philippines,40336,1280,11073
07-04-2020,Philippines,41830,1290,11453
07-05-2020,Philippines,44254,1297,11942
07-06-2020,Philippines,46333,1303,12185
07-07-2020,Philippines,47873,1309,12386
07-08-2020,Philippines,50359,1314,12588
07-09-2020,Philippines,51754,1314,12813
07-10-2020,Philippines,52914,1360,13230
07-11-2020,Philippines,54222,1372,14037
07-12-2020,Philippines,56259,1534,16046
07/13/2020,Philippines,57006,1599,20371
07/14/2020,Philippines,57545,1603,20459
07/15/2020,Philippines,58850,1614,20976
07/16/2020,Philippines,61266,1643,21440
07/17/2020,Philippines,63001,1660,21748
07/18/2020,Philippines,65304,1773,22067
07/19/2020,Philippines,67456,1831,22465
07/20/2020,Philippines,68898,1835,23072
07/21/2020,Philippines,70764,1837,23281
07/22/2020,Philippines,72269,1843,23623
07/23/2020,Philippines,74390,1871,24383
07/24/2020,Philippines,76444,1879,24502
07/25/2020,Philippines,78412,1897,25752
07/26/2020,Philippines,80448,1932,26110
07/27/2020,Philippines,82040,1945,26446
07/28/2020,Philippines,83673,1947,26617
07/29/2020,Philippines,85486,1962,26996
07/30/2020,Philippines,89374,1983,65064
07/31/2020,Philippines,93354,2023,65178
08-01-2020,Philippines,98232,2039,65265
08-02-2020,Philippines,103185,2059,65557
08-03-2020,Philippines,106330,2104,65821
08-04-2020,Philippines,112593,2115,66049
08-05-2020,Philippines,115980,2123,66270
08-06-2020,Philippines,119460,2150,66837
08-07-2020,Philippines,122754,2168,66852
08-08-2020,Philippines,126885,2209,67117
08-09-2020,Philippines,129913,2270,67673
08-10-2020,Philippines,136638,2294,68159
08-11-2020,Philippines,139538,2312,68432
08-12-2020,Philippines,143749,2404,68997
08/13/2020,Philippines,147526,2426,70387
08/14/2020,Philippines,153660,2442,71405
08/15/2020,Philippines,157918,2600,72209
08/16/2020,Philippines,161253,2665,112586
08/17/2020,Philippines,164474,2681,112759
08/18/2020,Philippines,169213,2687,112861
08/19/2020,Philippines,173774,2795,113481
08/20/2020,Philippines,178022,2883,114114
08/21/2020,Philippines,182365,2940,114519
08/22/2020,Philippines,187249,2966,114921
08/23/2020,Philippines,189601,2998,131367
08/24/2020,Philippines,194252,3010,132042
08/25/2020,Philippines,197164,3038,132396
08/26/2020,Philippines,202361,3137,133460
08/27/2020,Philippines,205581,3234,133990
08/28/2020,Philippines,209544,3325,134474
08/29/2020,Philippines,213131,3419,135101
08/30/2020,Philippines,217396,3520,157403
08/31/2020,Philippines,220819,3558,157562
09-01-2020,Philippines,224264,3597,158012
09-02-2020,Philippines,226440,3623,158610
09-03-2020,Philippines,228403,3688,159475
09-04-2020,Philippines,232072,3737,160549
09-05-2020,Philippines,234570,3790,161668
09-06-2020,Philippines,237365,3875,184687
09-07-2020,Philippines,238727,3890,184906
09-08-2020,Philippines,241987,3916,185178
09-09-2020,Philippines,245143,3986,185543
09-10-2020,Philippines,248947,4066,186058
09-11-2020,Philippines,252964,4108,186606
09-12-2020,Philippines,257863,4292,187116
09/13/2020,Philippines,261216,4371,207568
09/14/2020,Philippines,265888,4630,207504
09/15/2020,Philippines,269407,4663,207352
09/16/2020,Philippines,272934,4732,207858
09/17/2020,Philippines,276289,4785,208096
09/18/2020,Philippines,279526,4830,208790
09/19/2020,Philippines,283460,4930,209885
09/20/2020,Philippines,286743,4984,229865
09/21/2020,Philippines,290190,4999,230233
09/22/2020,Philippines,291789,5049,230643
09/23/2020,Philippines,294591,5091,231373
09/24/2020,Philippines,296755,5127,231928
09/25/2020,Philippines,299361,5196,232399
09/26/2020,Philippines,301256,5284,232906
09/27/2020,Philippines,304226,5344,252510
09/28/2020,Philippines,307288,5381,252665
09/29/2020,Philippines,309303,5448,252930
09/30/2020,Philippines,311694,5504,253488
10-01-2020,Philippines,314079,5562,254223
10-02-2020,Philippines,316678,5616,254617
10-03-2020,Philippines,319330,5678,255046
10-04-2020,Philippines,322497,5776,273079
10-05-2020,Philippines,324762,5840,273123
10-06-2020,Philippines,326833,5865,273313
10-07-2020,Philippines,329637,5925,273723
10-08-2020,Philippines,331869,6069,274318
10-09-2020,Philippines,334770,6152,275307
10-10-2020,Philippines,336926,6238,276094
10-11-2020,Philippines,339341,6321,293075
10-12-2020,Philippines,342816,6332,293152
10/13/2020,Philippines,344713,6372,293383
10/14/2020,Philippines,346536,6449,293860
10/15/2020,Philippines,348698,6497,294161
10/16/2020,Philippines,351750,6531,294865
10/17/2020,Philippines,354338,6603,295312
10/18/2020,Philippines,356618,6652,310158
10/19/2020,Philippines,359169,6675,310303
