Observation Date,Country,Confirmed,Death,Recovered
01/31/2020,Russia,2,0,0
02-01-2020,Russia,2,0,0
02-02-2020,Russia,2,0,0
02-03-2020,Russia,2,0,0
02-04-2020,Russia,2,0,0
02-05-2020,Russia,2,0,0
02-06-2020,Russia,2,0,0
02-07-2020,Russia,2,0,0
02-08-2020,Russia,2,0,0
02-09-2020,Russia,2,0,0
02-10-2020,Russia,2,0,0
02-11-2020,Russia,2,0,0
02-12-2020,Russia,2,0,2
02/13/2020,Russia,2,0,2
02/14/2020,Russia,2,0,2
02/15/2020,Russia,2,0,2
02/16/2020,Russia,2,0,2
02/17/2020,Russia,2,0,2
02/18/2020,Russia,2,0,2
02/19/2020,Russia,2,0,2
02/20/2020,Russia,2,0,2
02/21/2020,Russia,2,0,2
02/22/2020,Russia,2,0,2
02/23/2020,Russia,2,0,2
02/24/2020,Russia,2,0,2
02/25/2020,Russia,2,0,2
02/26/2020,Russia,2,0,2
02/27/2020,Russia,2,0,2
02/28/2020,Russia,2,0,2
02/29/2020,Russia,2,0,2
03-01-2020,Russia,2,0,2
03-02-2020,Russia,3,0,2
03-03-2020,Russia,3,0,2
03-04-2020,Russia,3,0,2
03-05-2020,Russia,4,0,2
03-06-2020,Russia,13,0,2
03-07-2020,Russia,13,0,2
03-08-2020,Russia,17,0,3
03-09-2020,Russia,17,0,3
03-10-2020,Russia,10,0,3
03-11-2020,Russia,20,0,3
03-12-2020,Russia,28,0,3
03/13/2020,Russia,45,0,3
03/14/2020,Russia,59,0,8
03/15/2020,Russia,63,0,8
03/16/2020,Russia,90,0,8
03/17/2020,Russia,114,0,8
03/18/2020,Russia,147,0,8
03/19/2020,Russia,199,1,9
03/20/2020,Russia,253,1,9
03/21/2020,Russia,306,1,12
03/22/2020,Russia,367,1,16
03/23/2020,Russia,438,1,17
03/24/2020,Russia,495,1,22
03/25/2020,Russia,658,3,29
03/26/2020,Russia,840,3,38
03/27/2020,Russia,1036,4,45
03/28/2020,Russia,1264,4,49
03/29/2020,Russia,1534,8,64
03/30/2020,Russia,1836,9,66
03/31/2020,Russia,2337,17,121
04-01-2020,Russia,2777,24,190
04-02-2020,Russia,3548,30,235
04-03-2020,Russia,4149,34,281
04-04-2020,Russia,4731,43,333
04-05-2020,Russia,5389,45,355
04-06-2020,Russia,6343,47,406
04-07-2020,Russia,7497,58,494
04-08-2020,Russia,8672,63,580
04-09-2020,Russia,10131,76,698
04-10-2020,Russia,11917,94,795
04-11-2020,Russia,13584,106,1045
04-12-2020,Russia,15770,130,1291
04/13/2020,Russia,18328,148,1470
04/14/2020,Russia,21102,170,1694
04/15/2020,Russia,24490,198,1986
04/16/2020,Russia,27938,232,2304
04/17/2020,Russia,32008,273,2590
04/18/2020,Russia,36793,313,3057
04/19/2020,Russia,42853,361,3291
04/20/2020,Russia,47121,405,3446
04/21/2020,Russia,52763,456,3873
04/22/2020,Russia,57999,513,4420
04/23/2020,Russia,62773,555,4891
04/24/2020,Russia,68622,615,5568
04/25/2020,Russia,74588,681,6250
04/26/2020,Russia,80949,747,6767
04/27/2020,Russia,87147,794,7346
04/28/2020,Russia,93558,867,8456
04/29/2020,Russia,99399,972,10286
04/30/2020,Russia,106498,1073,11619
05-01-2020,Russia,114431,1169,13220
05-02-2020,Russia,124054,1222,15013
05-03-2020,Russia,134687,1280,16639
05-04-2020,Russia,145268,1356,18095
05-05-2020,Russia,155370,1451,19865
05-06-2020,Russia,165929,1537,21327
05-07-2020,Russia,177160,1625,23803
05-08-2020,Russia,187859,1723,26608
05-09-2020,Russia,198676,1827,31916
05-10-2020,Russia,209688,1915,34306
05-11-2020,Russia,221344,2009,39801
05-12-2020,Russia,232243,2116,43512
05/13/2020,Russia,242271,2212,48003
05/14/2020,Russia,252245,2305,53530
05/15/2020,Russia,262843,2418,58226
05/16/2020,Russia,272043,2537,63166
05/17/2020,Russia,281752,2631,67373
05/18/2020,Russia,290678,2722,70209
05/19/2020,Russia,299941,2837,76130
05/20/2020,Russia,308705,2972,85392
05/21/2020,Russia,317554,3099,92681
05/22/2020,Russia,326448,3249,99825
05/23/2020,Russia,335882,3388,107936
05/24/2020,Russia,344481,3541,113299
05/25/2020,Russia,353427,3633,118798
05/26/2020,Russia,362342,3807,131129
05/27/2020,Russia,370680,3968,142208
05/28/2020,Russia,379051,4142,150993
05/29/2020,Russia,387623,4374,159257
05/30/2020,Russia,396575,4555,167469
05/31/2020,Russia,405843,4693,171883
06-01-2020,Russia,874,9,394
06-01-2020,Russia,1915,12,805
06-01-2020,Russia,132,0,74
06-01-2020,Russia,528,5,167
06-01-2020,Russia,2068,5,606
06-01-2020,Russia,1883,16,937
06-01-2020,Russia,3337,18,1132
06-01-2020,Russia,2392,19,915
06-01-2020,Russia,3787,31,2321
06-01-2020,Russia,1513,10,818
06-01-2020,Russia,1247,13,836
06-01-2020,Russia,2929,18,1323
06-01-2020,Russia,80,1,55
06-01-2020,Russia,2973,14,1272
06-01-2020,Russia,5096,260,4442
06-01-2020,Russia,2127,50,859
06-01-2020,Russia,1979,11,347
06-01-2020,Russia,2057,18,786
06-01-2020,Russia,314,3,198
06-01-2020,Russia,2903,20,1195
06-01-2020,Russia,1553,24,630
06-01-2020,Russia,1074,15,510
06-01-2020,Russia,4009,31,1506
06-01-2020,Russia,881,8,267
06-01-2020,Russia,1137,5,327
06-01-2020,Russia,445,1,168
06-01-2020,Russia,545,7,240
06-01-2020,Russia,2142,12,1017
06-01-2020,Russia,985,10,564
06-01-2020,Russia,2587,18,809
06-01-2020,Russia,1751,17,981
06-01-2020,Russia,1352,24,704
06-01-2020,Russia,772,11,399
06-01-2020,Russia,3908,33,2748
06-01-2020,Russia,4380,39,1060
06-01-2020,Russia,245,0,118
06-01-2020,Russia,3063,13,1400
06-01-2020,Russia,2875,11,1590
06-01-2020,Russia,2194,6,724
06-01-2020,Russia,246,3,187
06-01-2020,Russia,1815,13,1379
06-01-2020,Russia,1931,12,827
06-01-2020,Russia,183088,2553,82239
06-01-2020,Russia,39723,473,8422
06-01-2020,Russia,3264,7,2081
06-01-2020,Russia,73,0,12
06-01-2020,Russia,10149,104,3747
06-01-2020,Russia,3005,50,1968
06-01-2020,Russia,1353,8,388
06-01-2020,Russia,2914,33,1129
06-01-2020,Russia,1411,18,359
06-01-2020,Russia,2341,25,1156
06-01-2020,Russia,1979,6,1196
06-01-2020,Russia,2417,19,1855
06-01-2020,Russia,1782,20,1063
06-01-2020,Russia,2049,19,1078
06-01-2020,Russia,887,10,340
06-01-2020,Russia,4942,38,1742
06-01-2020,Russia,3581,7,973
06-01-2020,Russia,16313,213,5748
06-01-2020,Russia,2042,8,903
06-01-2020,Russia,118,0,53
06-01-2020,Russia,2648,20,1060
06-01-2020,Russia,3174,34,1158
06-01-2020,Russia,2299,39,773
06-01-2020,Russia,2568,47,1102
06-01-2020,Russia,5732,29,2337
06-01-2020,Russia,3047,7,1176
06-01-2020,Russia,3244,10,2690
06-01-2020,Russia,716,11,326
06-01-2020,Russia,3968,36,1815
06-01-2020,Russia,1650,22,1087
06-01-2020,Russia,1661,8,818
06-01-2020,Russia,1115,2,93
06-01-2020,Russia,682,12,412
06-01-2020,Russia,2567,8,713
06-01-2020,Russia,2735,21,756
06-01-2020,Russia,3215,20,1031
06-01-2020,Russia,952,7,357
06-01-2020,Russia,2139,15,1433
06-01-2020,Russia,2415,10,984
06-01-2020,Russia,3210,14,756
06-01-2020,Russia,1136,20,548
06-02-2020,Russia,890,9,413
06-02-2020,Russia,1985,12,833
06-02-2020,Russia,133,0,80
06-02-2020,Russia,546,5,188
06-02-2020,Russia,2124,7,659
06-02-2020,Russia,1937,19,1014
06-02-2020,Russia,3409,18,1138
06-02-2020,Russia,2471,20,999
06-02-2020,Russia,3885,31,2422
06-02-2020,Russia,1563,10,874
06-02-2020,Russia,1264,13,847
06-02-2020,Russia,3042,19,1336
06-02-2020,Russia,81,1,56
06-02-2020,Russia,3061,14,1319
06-02-2020,Russia,5228,271,4457
06-02-2020,Russia,2164,52,906
06-02-2020,Russia,2189,13,405
06-02-2020,Russia,2140,18,864
06-02-2020,Russia,314,3,211
06-02-2020,Russia,2978,21,1272
06-02-2020,Russia,1607,24,670
06-02-2020,Russia,1085,15,518
06-02-2020,Russia,4092,32,1614
06-02-2020,Russia,916,8,269
06-02-2020,Russia,1204,5,340
06-02-2020,Russia,453,1,191
06-02-2020,Russia,589,7,259
06-02-2020,Russia,2209,12,1083
06-02-2020,Russia,1020,10,585
06-02-2020,Russia,2736,18,870
06-02-2020,Russia,1828,17,981
06-02-2020,Russia,1393,24,748
06-02-2020,Russia,804,11,420
06-02-2020,Russia,3987,36,2842
06-02-2020,Russia,4530,40,1259
06-02-2020,Russia,252,0,134
06-02-2020,Russia,3123,13,1452
06-02-2020,Russia,2928,15,1674
06-02-2020,Russia,2261,6,742
06-02-2020,Russia,248,3,199
06-02-2020,Russia,1854,13,1445
06-02-2020,Russia,1970,13,898
06-02-2020,Russia,185374,2624,88269
06-02-2020,Russia,40455,495,8809
06-02-2020,Russia,3296,7,2192
06-02-2020,Russia,74,0,15
06-02-2020,Russia,10503,111,3980
06-02-2020,Russia,3055,56,2070
06-02-2020,Russia,1430,8,391
06-02-2020,Russia,3020,34,1214
06-02-2020,Russia,1437,18,386
06-02-2020,Russia,2372,26,1231
06-02-2020,Russia,2032,7,1196
06-02-2020,Russia,2502,20,1966
06-02-2020,Russia,1839,22,1147
06-02-2020,Russia,2103,19,1160
06-02-2020,Russia,910,10,359
06-02-2020,Russia,5195,40,1834
06-02-2020,Russia,3653,9,1075
06-02-2020,Russia,16689,223,6008
06-02-2020,Russia,2116,8,943
06-02-2020,Russia,133,0,54
06-02-2020,Russia,2724,22,1072
06-02-2020,Russia,3269,34,1206
06-02-2020,Russia,2409,41,821
06-02-2020,Russia,2653,47,1174
06-02-2020,Russia,6024,31,2510
06-02-2020,Russia,3110,8,1221
06-02-2020,Russia,3297,10,2814
06-02-2020,Russia,739,11,340
06-02-2020,Russia,4074,39,1921
06-02-2020,Russia,1695,28,1147
06-02-2020,Russia,1702,8,869
06-02-2020,Russia,1161,2,174
06-02-2020,Russia,717,12,425
06-02-2020,Russia,2672,10,743
06-02-2020,Russia,2797,24,839
06-02-2020,Russia,3334,20,1097
06-02-2020,Russia,979,7,380
06-02-2020,Russia,2234,16,1499
06-02-2020,Russia,2466,10,1163
06-02-2020,Russia,3284,14,826
06-02-2020,Russia,1165,21,576
06-03-2020,Russia,904,9,465
06-03-2020,Russia,2066,12,866
06-03-2020,Russia,138,0,84
06-03-2020,Russia,566,5,198
06-03-2020,Russia,2363,7,698
06-03-2020,Russia,2004,19,1052
06-03-2020,Russia,3501,18,1192
06-03-2020,Russia,2548,22,1082
06-03-2020,Russia,3982,31,2522
06-03-2020,Russia,1587,10,917
06-03-2020,Russia,1278,14,894
06-03-2020,Russia,3150,20,1394
06-03-2020,Russia,87,1,59
06-03-2020,Russia,3148,14,1369
06-03-2020,Russia,5341,287,4477
06-03-2020,Russia,2197,58,966
06-03-2020,Russia,2309,14,458
06-03-2020,Russia,2205,18,928
06-03-2020,Russia,317,4,229
06-03-2020,Russia,3052,23,1362
06-03-2020,Russia,1642,24,698
06-03-2020,Russia,1108,16,556
06-03-2020,Russia,4179,34,1732
06-03-2020,Russia,949,8,286
06-03-2020,Russia,1276,5,348
06-03-2020,Russia,496,2,197
06-03-2020,Russia,616,7,261
06-03-2020,Russia,2273,13,1169
06-03-2020,Russia,1052,10,609
06-03-2020,Russia,2847,18,936
06-03-2020,Russia,1904,17,1013
06-03-2020,Russia,1426,25,801
06-03-2020,Russia,825,11,425
06-03-2020,Russia,4068,38,2917
06-03-2020,Russia,4654,43,1300
06-03-2020,Russia,255,0,144
06-03-2020,Russia,3199,13,1513
06-03-2020,Russia,2982,15,1751
06-03-2020,Russia,2326,7,789
06-03-2020,Russia,260,3,201
06-03-2020,Russia,1894,13,1513
06-03-2020,Russia,2012,14,954
06-03-2020,Russia,187216,2685,91654
06-03-2020,Russia,41191,515,9311
06-03-2020,Russia,3342,7,2375
06-03-2020,Russia,74,0,15
06-03-2020,Russia,10850,116,4252
06-03-2020,Russia,3104,57,2231
06-03-2020,Russia,1493,8,416
06-03-2020,Russia,3122,34,1235
06-03-2020,Russia,1482,18,437
06-03-2020,Russia,2443,27,1274
06-03-2020,Russia,2085,8,1241
06-03-2020,Russia,2585,22,2048
06-03-2020,Russia,1911,22,1221
06-03-2020,Russia,2155,19,1223
06-03-2020,Russia,954,10,368
06-03-2020,Russia,5373,40,1950
06-03-2020,Russia,3728,9,1169
06-03-2020,Russia,17069,240,6331
06-03-2020,Russia,2214,9,1015
06-03-2020,Russia,143,0,62
06-03-2020,Russia,2770,23,1138
06-03-2020,Russia,3363,34,1288
06-03-2020,Russia,2536,41,880
06-03-2020,Russia,2733,50,1265
06-03-2020,Russia,6381,33,2680
06-03-2020,Russia,3175,8,1272
06-03-2020,Russia,3351,10,2991
06-03-2020,Russia,765,11,359
06-03-2020,Russia,4183,42,2037
06-03-2020,Russia,1731,33,1229
06-03-2020,Russia,1749,8,922
06-03-2020,Russia,1221,2,227
06-03-2020,Russia,770,12,438
06-03-2020,Russia,2770,12,832
06-03-2020,Russia,2853,27,941
06-03-2020,Russia,3432,20,1165
06-03-2020,Russia,998,11,439
06-03-2020,Russia,2361,16,1567
06-03-2020,Russia,2479,11,1207
06-03-2020,Russia,3356,14,896
06-03-2020,Russia,1218,22,633
06-04-2020,Russia,937,9,487
06-04-2020,Russia,2135,12,899
06-04-2020,Russia,154,0,88
06-04-2020,Russia,588,5,216
06-04-2020,Russia,2496,8,737
06-04-2020,Russia,2097,19,1120
06-04-2020,Russia,3608,18,1249
06-04-2020,Russia,2624,22,1151
06-04-2020,Russia,4078,31,2623
06-04-2020,Russia,1633,10,975
06-04-2020,Russia,1291,14,973
06-04-2020,Russia,3263,21,1479
06-04-2020,Russia,91,1,60
06-04-2020,Russia,3231,15,1431
06-04-2020,Russia,5463,287,4497
06-04-2020,Russia,2228,60,1193
06-04-2020,Russia,2447,15,506
06-04-2020,Russia,2322,20,963
06-04-2020,Russia,323,4,240
06-04-2020,Russia,3126,25,1457
06-04-2020,Russia,1665,24,718
06-04-2020,Russia,1127,16,577
06-04-2020,Russia,4270,34,1812
06-04-2020,Russia,984,8,289
06-04-2020,Russia,1354,7,369
06-04-2020,Russia,520,2,205
06-04-2020,Russia,638,7,261
06-04-2020,Russia,2333,14,1211
06-04-2020,Russia,1077,10,655
06-04-2020,Russia,2987,18,979
06-04-2020,Russia,1967,17,1076
06-04-2020,Russia,1455,25,816
06-04-2020,Russia,842,11,435
06-04-2020,Russia,4148,40,3006
06-04-2020,Russia,4795,46,1363
